Name,Team,Pos,DRS,OAA,playerid
Myles Straw,CLE,CF,17,13,17620
Jose Siri,- - -,CF,6,13,17452
Byron Buxton,MIN,CF,8,8,14161
Daulton Varsho,ARI,CF,5,8,19918
Trent Grisham,SDP,CF,8,13,18564
Michael Harris II,ATL,CF,8,7,25931
Dylan Carlson,STL,CF,6,3,20126
Michael A. Taylor,KCR,CF,19,5,11489
Harrison Bader,- - -,CF,-1,7,18030
Aaron Judge,NYY,CF,1,1,15640
Victor Robles,WSN,CF,12,5,18363
Jake Meyers,HOU,CF,4,7,20308
Cody Bellinger,LAD,CF,0,6,15998
Tyrone Taylor,MIL,CF,6,4,13675
Cedric Mullins II,BAL,CF,5,8,17929
Enrique Hernandez,BOS,CF,4,4,10472
Cristian Pache,OAK,CF,5,8,19948
Chas McCormick,HOU,CF,0,5,19599
Kevin Kiermaier,TBR,CF,2,1,11038
Alek Thomas,ARI,CF,6,6,23792
Bradley Zimmer,- - -,CF,6,3,16221
Lorenzo Cain,MIL,CF,3,4,9077
Mike Yastrzemski,SFG,CF,4,4,14854
Brandon Nimmo,NYM,CF,-3,6,12927
Leody Taveras,TEX,CF,-2,4,18900
Adolis Garcia,TEX,CF,1,3,19287
Gilberto Celestino,MIN,CF,2,3,20233
Odubel Herrera,PHI,CF,-3,1,11476
Jesus Sanchez,MIA,CF,2,-2,19913
Lane Thomas,WSN,CF,2,1,16939
Adam Duvall,ATL,CF,0,3,10950
George Springer,TOR,CF,-4,1,12856
Mike Trout,LAA,CF,0,3,10155
Julio Rodriguez,SEA,CF,3,6,23697
Rafael Ortega,CHC,CF,-3,-1,10323
Brandon Marsh,- - -,CF,-1,0,20202
Aaron Hicks,NYY,CF,-4,-1,5297
Luis Robert,CHW,CF,-4,2,20043
Nick Senzel,CIN,CF,-11,0,19293
Christopher Morel,CHC,CF,-6,-4,21897
Yonathan Daza,COL,CF,-8,0,15794
Austin Slater,SFG,CF,-9,1,16153
Riley Greene,DET,CF,2,2,25976
Randal Grichuk,COL,CF,-3,-2,10243
Jarren Duran,BOS,CF,-9,-2,24617
Matt Vierling,PHI,CF,-7,-3,21558
Bryan Reynolds,PIT,CF,-14,-7,19326
