Name,Team,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,playerid
Aaron Judge,NYY,30,62,0.63,0.463,207,4,11.4,15640
Juan Soto,- - -,23,27,1.41,0.401,145,3.5,3.8,20123
Mookie Betts,LAD,29,35,0.53,0.344,144,6,6.6,13611
Taylor Ward,LAA,28,23,0.5,0.361,137,3.4,3.8,17548
Starling Marte,NYM,33,16,0.27,0.336,136,6.5,3,9241
Teoscar Hernandez,TOR,29,25,0.22,0.351,129,3.8,2.4,13066
Kyle Tucker,HOU,25,30,0.62,0.353,129,4.9,4.7,18345
Hunter Renfroe,MIL,30,29,0.32,0.323,124,2.2,2.5,15464
Lars Nootbaar,STL,24,14,0.72,0.346,125,5.5,2.7,21454
Oscar Gonzalez,CLE,24,11,0.2,0.32,122,1.6,1.6,20970
Jake McCarthy,ARI,24,8,0.3,0.298,116,7.6,2.3,21622
Anthony Santander,BAL,27,33,0.45,0.352,120,1.6,2.5,14551
Ronald Acuna Jr.,ATL,24,15,0.42,0.366,114,4.9,2.2,18401
Seiya Suzuki,CHC,27,14,0.38,0.327,116,4.5,2,30116
Giancarlo Stanton,NYY,32,31,0.36,0.351,115,0.9,1.2,4949
Andrew Vaughn,CHW,24,17,0.32,0.319,113,1.8,-0.4,26197
Adolis Garcia,TEX,29,27,0.22,0.322,112,6.6,3.8,19287
Daulton Varsho,ARI,25,27,0.32,0.298,106,5.7,4.6,19918
Alex Verdugo,BOS,26,11,0.49,0.329,103,2.2,1.2,17027
Charlie Blackmon,COL,35,16,0.29,0.301,89,4.5,0.1,7859
Randal Grichuk,COL,30,19,0.19,0.281,88,4.4,-0.2,10243
Austin Hays,BAL,26,16,0.3,0.298,105,3,1.5,19363
Bryan De La Cruz,MIA,25,13,0.21,0.355,104,3.5,0.6,19600
Jack Suwinski,PIT,23,19,0.36,0.307,100,3.1,1.8,22244
Manuel Margot,TBR,27,4,0.35,0.299,106,4.4,1.5,14712
Gavin Sheets,CHW,26,15,0.31,0.283,100,0.7,0.1,19901
Ben Gamel,PIT,30,9,0.49,0.316,97,4.1,0,12160
Mike Yastrzemski,SFG,31,17,0.43,0.314,99,4.7,2.2,14854
Dylan Carlson,STL,23,8,0.48,0.301,100,4.9,2.4,20126
Nick Castellanos,PHI,30,13,0.22,0.302,94,3.4,-0.7,11737
Tyler Naquin,- - -,31,11,0.2,0.317,93,6.5,0.3,13359
Luis Gonzalez,SFG,26,4,0.4,0.268,95,5.2,0.3,20332
Max Kepler,MIN,29,9,0.74,0.338,95,3.4,2,12144
Hunter Dozier,KCR,30,12,0.27,0.301,90,4.2,-1,15117
Whit Merrifield,- - -,33,11,0.45,0.288,88,5.2,1.5,11281
Ramon Laureano,OAK,27,13,0.24,0.307,96,4.8,0.9,17128
Brian Anderson,MIA,29,8,0.37,0.309,90,3.3,0.5,18289
Joey Gallo,- - -,28,19,0.34,0.295,85,4.7,0.6,14128
Willi Castro,DET,25,8,0.18,0.29,86,5.5,0.7,17338
Matt Vierling,PHI,25,6,0.33,0.327,81,5.1,0,21558
Victor Reyes,DET,27,3,0.17,0.292,85,3.7,-0.2,15487
Robbie Grossman,- - -,32,7,0.43,0.281,82,3.4,-0.3,5254
Chad Pinder,OAK,30,12,0.12,0.28,86,2.9,-0.1,15191
Kole Calhoun,TEX,34,12,0.2,0.294,67,3.3,-1.1,11200
Avisail Garcia,MIA,31,8,0.16,0.281,66,3.3,-0.6,5760
Jackie Bradley Jr.,- - -,32,4,0.31,0.268,56,2.7,-0.1,12984
